id,name,feature
909,果日,0
910,個個,0
911,特登,0
912,一路,0
913,每次,0
914,晚晚,0
915,多數,0
916,兩句,0
917,邊有,0
918,用黎,0
919,先有,0
920,緊藥,0
921,有食,0
922,鎮靜劑,0
923,鎮定劑,0
924,幫人,0
925,文職,0
926,打工,0
927,幫手,0
928,家務,0
929,做下,0
930,減壓,0
931,義工,0
932,精神病院,0
933,左院,0
934,有入,0
935,北區,0
936,青山,0
937,強制,0
938,急症室,0
939,醫院,0
940,當初,0
941,男朋友,0
942,將來,0
943,女朋友,0
944,原本,0
945,認真,0
946,決定,0
947,現任,0
948,男友,0
949,當時,0
950,女友,0
951,結婚,0
952,男人,0
953,選擇,0
954,分手,0
955,無力,0
956,迷失,0
957,迷惘,0
958,頹廢,0
959,難過,0
960,空虛,0
961,好攰,0
962,痛苦,0
963,挫敗,0
964,頹,0
965,迷茫,0
966,無奈,0
967,掙扎,0
968,沉重,0
969,好累,0
970,疲累,0
971,心累,0
972,灰,0
973,難受,0
974,矛盾,0
975,自責,0
976,辛苦,2
977,臉色,0
978,平凡,0
979,視力,0
980,身高,0
981,專家,0
982,束縛,0
983,一份,0
984,工我,0
985,工但,0
986,收入,0
987,人工,0
988,升職,0
989,散工,0
990,份工,0
991,全職,0
992,轉行,0
993,工作,0
994,新工,0
995,兩份,0
996,兼職,0
997,幾份,0
998,打份工,0
999,精神,0
1000,質素,0
1001,身心,0
1002,手震,0
1003,胃口,0
1004,副作用,0
1005,藥物,0
1006,心理,0
1007,神經,0
1008,睡眠,0
1009,折磨,0
1010,體力,0
1011,生理,0
1012,健康,0
1013,沒關係,0
1014,很累,0
1015,不起,0
1016,不該,0
1017,它們,0
1018,再也,0
1019,進,0
1020,辦,0
1021,四月,0
1022,十一月,0
1023,一月,0
1024,月頭,0
1025,出年,0
1026,作出,0
1027,帶來,0
1028,自我,0
1029,外界,0
1030,五月天,0
1031,緊歌,0
1032,網友,0
1033,男同事,0
1034,師兄,0
1035,陌生人,0
1036,導師,0
1037,社工,0
1038,可是,0
1039,也許,0
1040,那種,0
1041,總是,0
1042,如此,0
1043,還是,0
1044,或是,0
1045,不開心,0
1046,艾滋病,0
1047,這種,0
1048,每天,0
1049,一點,0
1050,它,0
1051,很難,0
1052,那麼,0
1053,現在,0
1054,入睡,0
1055,又訓,0
1056,專心,0
1057,就訓,0
1058,試下,0
1059,我試,0
1060,唯有,0
1061,問下,0
1062,下次,0
1063,試嚇,0
1064,下同,0
1065,下先,0
1066,留番,0
1067,我點,0
1068,試試,0
1069,開導,0
1070,好點,0
1071,沒用,0
1072,一點點,0
1073,讀寫,0
1074,社交,0
1075,特徵,0
1076,症狀,0
1077,不由自主,0
1078,酸,0
1079,坐立不安,0
1080,窒息,0
1081,鬱結,0
1082,僵硬,0
1083,鬱悶,0
1084,傷感,0
1085,囉囉攣,0
1086,淒涼,0
1087,心酸,0
1088,夜闌人靜,0
1089,作嘔,0
1090,耳鳴,0
1091,長篇,0
1092,麻痺,0
1093,飄,0
1094,反叛,0
1095,好惡,0
1096,偏心,0
1097,好乖,0
1098,割脈,0
1099,暈低,0
1100,俾人捉,0
1101,糖尿病,0
1102,退燒,0
1103,哮喘,0
1104,斷腳,0
1105,病咗,0
1106,腸胃炎,0
1107,寫定,0
1108,放題,0
1109,當值,0
1110,問問,0
1111,同講,0
1112,我想問,0
1113,又問,0
1114,問過,0
1115,想問,0
1116,問我,0
1117,都問,0
1118,搞錯,0
1119,前去,0
1120,排成,0
1121,幾日,0
1122,兩日,0
1123,幾晚,0
1124,一兩年,0
1125,小五,0
1126,時間,0
1127,心機,0
1128,假期,0
1129,地方,0
1130,休息,0
1131,機會,0
1132,空間,0
1133,活動,1
1134,難關,0
1135,經驗,0
1136,進步,0
1137,限制,0
1138,真實,0
1139,內心,0
1140,奇怪,0
1141,脆弱,0
1142,在乎,0
1143,重視,0
1144,在意,0
1145,現實,0
1146,深刻,0
1147,孤獨,0
1148,極端,0
1149,完美,0
1150,擅長,0
1151,理性,0
1152,痛到,0
1153,嘔,0
1154,反胃,0
1155,全身,0
1156,呼吸困難,0
1157,抽筋,0
1158,好暈,0
1159,頭暈,0
1160,流血,0
1161,肚痛,0
1162,心口,0
1163,熱情,0
1164,殘忍,0
1165,敏感,0
1166,失落,0
1167,寂寞,0
1168,熱誠,0
1169,興奮,0
1170,陌生,0
1171,悲哀,0
1172,自卑,0
1173,不安,0
1174,同一,0
1175,一班,0
1176,美國,0
1177,日本,0
1178,同班,0
1179,青協,0
1180,講完,0
1181,講野,0
1182,講點,0
1183,講但,0
1184,講曬,0
1185,講左,0
1186,你講,0
1187,解釋,0
1188,講我,0
1189,有事,0
1190,出事,0
1191,放假,0
1192,聽電話,0
1193,離婚,0
1194,發癲,0
1195,左事,0
1196,避開,0
1197,上門,0
1198,發脾氣,0
1199,報警,0
1200,返到,0
1201,請假,0
1202,意外,0
1203,支持,0
1204,安慰,0
1205,陪住,0
1206,明白,0
1207,珍惜,0
1208,欣賞,0
1209,愛錫,0
1210,瞭解,0
1211,鼓勵,0
1212,體諒,0
1213,尊重,0
1214,陪伴,0
1215,關心,0
1216,愛我,0
1217,理解,0
1218,照顧,0
1219,我個,0
1220,藝術,0
1221,我果,0
1222,姑娘,0
1223,社署,0
1224,社康,0
1225,但果,0
1226,但個,0
1227,外展,0
1228,最大,0
1229,之一,0
1230,原生,0
1231,唯一,0
1232,金錢,0
1233,主因,0
1234,人際,0
1235,學業,0
1236,經濟,0
1237,滿意,0
1238,上進,0
1239,識講,0
1240,負責任,0
1241,可信,0
1242,代表,0
1243,甘心,0
1244,聽話,0
1245,爭氣,0
1246,敢講,0
1247,付出,0
1248,保護,0
1249,回報,0
1250,幸福,0
1251,否定,0
1252,努力,0
1253,值得,0
1254,自私,0
1255,仲好,0
1256,重好,0
1257,心好,0
1258,會勁,0
1259,超級,0
1260,收聲,0
1261,去死,0
1262,救命,0
1263,介手,2
1264,扎醒,0
1265,自殘,0
1266,界手,0
1267,肚瀉,0
1268,吊頸,0
1269,跳樓,0
1270,自殺,0
1271,爆喊,0
1272,企跳,0
1273,撞牆,0
1274,燒炭,0
1275,血糖,0
1276,噩夢,0
1277,廢人,0
1278,笑話,0
1279,循環,0
1280,普通人,0
1281,廢青,0
1282,廢物,0
1283,正常人,0
1284,中學生,0
1285,我仲讀,0
1286,讀讀,0
1287,自學,0
1288,我讀,0
1289,比車,0
1290,狂喊,0
1291,好處,0
1292,信心,0
1293,權利,0
1294,好感,0
1295,盼望,0
1296,看法,0
1297,保障,0
1298,自由,0
1299,滿足感,0
1300,答案,0
1301,方法,1
1302,意思,0
1303,回應,0
1304,出路,0
1305,合理,0
1306,理由,0
1307,事實,0
1308,想法,0
1309,對象,0
1310,方向,0
1311,原因,0
1312,優點,0
1313,夢想,0
1314,明確,0
1315,行動,0
1316,掰掰,0
1317,早抖,0
1318,訓先,0
1319,再算,0
1320,羞辱,0
1321,恥笑,0
1322,攻擊,0
1323,我住,0
1324,將軍澳,0
1325,屯門,0
1326,觀塘,0
1327,出過,0
1328,晏晝,0
1329,喊過,0
1330,食過,0
1331,想得到,0
1332,渴望,0
1333,心中,0
1334,成世,0
1335,累人,0
1336,再行,0
1337,死死,0
1338,一世,0
1339,我無同,0
1340,無同,0
1341,現職,0
1342,國際,0
1343,收銀,0
1344,名牌,0
1345,變動,0
1346,爛賭,0
1347,記者,0
1348,自此,0
1349,比人用,0
1350,搞掂,0
1351,好返,0
1352,還錢,0
1353,放過,0
1354,這是,0
1355,還能,0
