,dist_fr,dist_mr
89,0.182210471,0.266472359
90,0.162301854,0.323393114
91,0.459267702,0.315404096
92,0.162872653,0.449940488
93,0.162997166,0.244021218
94,0.281218399,0.337820822
95,0.346130256,0.362449096
96,0.275360796,0.251977083
97,0.194533788,0.455310335
98,0.39508812,0.28418694
99,0.234984025,0.253983075
100,0.292283025,0.233779733
101,0.190459058,0.238225864
102,0.167131575,0.303972775
103,0.176132573,0.31984437
104,0.248225245,0.264798304
105,0.20020481,0.332074215
106,0.151818996,0.273758457
107,0.319121557,0.283135307
108,0.256934757,0.353138324
109,0.185973017,0.310002417
110,0.242281988,0.306869803
111,0.177672627,0.27633329
112,0.223835508,0.258347498
113,0.357255864,0.243452995
114,0.241099911,0.4569205
115,0.174074929,0.266060317
116,0.166461648,0.306303929
117,0.299784763,0.527116211
118,0.18718858,0.292774474
119,0.198527036,0.223028785
120,0.188647129,0.236936691
121,0.169514003,0.367811357
122,0.318600279,0.298265383
123,0.315414048,0.375882122
124,0.321075137,0.270108026
125,0.142732502,0.379517859
126,0.179047496,0.190642917
127,0.267447961,0.278009376
128,0.192222271,0.254172108
129,0.32685939,0.218188151
130,0.219904845,0.28983656
131,0.157087407,0.217006996
132,0.192811085,0.302714567
133,0.185258727,0.245189528
134,0.281137742,0.257459597
135,0.242100107,0.379542757
136,0.191317629,0.22535738
137,0.233031184,0.327446803
138,0.229126972,0.251255462
139,0.184301726,0.288611068
140,0.186978495,0.202117789
141,0.252866655,0.508635841
142,0.198536181,0.295375286
143,0.26230293,0.240061026
144,0.293505452,0.258402684
145,0.216996722,0.48202916
146,0.503344578,0.222419802
147,0.15280632,0.218244774
148,0.266675941,0.226452493
149,0.200128405,0.264301773
150,0.217285665,0.301393921
151,0.179725198,0.207059349
152,0.195958726,0.523704934
153,0.248066134,0.22960821
154,0.210578934,0.185018692
155,0.289408825,0.283002351
156,0.175527718,0.221660142
157,0.225609925,0.32077867
158,0.22721368,0.318679977
159,0.221869181,0.189061491
160,0.229495397,0.217737765
161,0.273259185,0.210107172
162,0.215395913,0.269670266
163,0.196165108,0.349372093
164,0.216961284,0.332926741
165,0.239739402,0.270770336
166,0.415918996,0.230459069
167,0.181830658,0.32260858
168,0.293315531,0.309833635
169,0.203074419,0.344872379
170,0.220082084,0.336183836
171,0.20127719,0.231203612
172,0.17568591,0.307576886
173,0.208326302,0.320094366
174,0.1643528,0.268680473
175,0.367839743,0.309238304
176,0.170839971,0.291727296
177,0.244019455,0.26222352
178,0.263022401,0.572929604
179,0.172824806,0.200773081
